SampleName,Group,Mg,Al,K,Ca,Sc,Ti,Mn,Fe,Ni,Cu,Zn,Ga,Ge,Se,Br,Rb,Sr,Y,Mo,Pd,I,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ta,Th
S2_R5 H4 PM1/F/2,potting mix,29000.00000,26.00000,36000.00000,33000.00000,0.77000,9.10000,330.00000,400.00000,1.70000,45.00000,320.00000,1.60000,0.47000,3.90000,25.00000,130.00000,320.00000,0.09600,10.00000,0.05100,14.00000,79.00000,0.09500,0.12000,0.01700,0.06200,0.04200,0.01500,0.04000,0.00760,0.02800,0.01200,0.02800,0.00730,0.06000,0.00870,0.00550,0.00560
S2_R3 H4 PM3/F,potting mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_R3 H4 PM3/B1,potting mix,23000.00000,31.00000,29000.00000,32000.00000,1.00000,7.60000,260.00000,440.00000,1.90000,38.00000,390.00000,1.10000,0.70000,3.70000,23.00000,120.00000,300.00000,0.06000,6.60000,0.10000,11.00000,51.00000,0.08300,0.10000,0.02300,0.05500,0.04400,0.00920,0.04500,0.00410,0.03300,0.00930,0.03200,0.00620,0.03500,0.00760,0.00590,0.01100
S2_R3 H4 PM3/B2,potting mix,28000.00000,27.00000,31000.00000,40000.00000,0.84000,6.70000,260.00000,410.00000,1.90000,32.00000,420.00000,1.70000,0.77000,3.10000,24.00000,100.00000,390.00000,0.07900,5.50000,0.09200,15.00000,74.00000,0.11000,0.14000,0.02000,0.05800,0.03700,0.01700,0.05700,0.00780,0.03800,0.01000,0.03900,0.00880,0.02900,0.00710,0.00280,0.02200
S2_R2 H5 NTH1/1,nth,18000.00000,34.00000,15000.00000,56000.00000,0.69000,8.30000,370.00000,580.00000,2.50000,68.00000,400.00000,2.80000,0.51000,2.70000,20.00000,7.60000,510.00000,0.08400,2.20000,0.18000,8.30000,120.00000,0.11000,0.32000,0.01900,0.08000,0.06200,0.02300,0.02700,0.00580,0.04800,0.01000,0.02300,0.00560,0.05300,0.01000,0.00570,0.01100
S2_R2 H5 NTH1/2,nth,19000.00000,36.00000,16000.00000,62000.00000,0.83000,9.60000,390.00000,620.00000,2.60000,56.00000,390.00000,3.00000,0.62000,9.30000,24.00000,6.90000,580.00000,0.11000,1.90000,0.20000,8.80000,130.00000,0.11000,0.14000,0.02100,0.08200,0.04700,0.03300,0.05900,0.00660,0.04700,0.00940,0.02300,0.00330,0.04700,0.00810,0.00940,0.03100
S2_R2 H5 NTH1/3,nth,20000.00000,33.00000,16000.00000,65000.00000,0.75000,7.90000,390.00000,610.00000,3.30000,57.00000,400.00000,3.10000,0.46000,8.70000,43.00000,6.90000,600.00000,0.09800,2.00000,0.12000,9.10000,130.00000,0.12000,0.15000,0.01900,0.10000,0.05400,0.02200,0.04600,0.01000,0.03900,0.00900,0.02800,0.01000,0.05900,0.00470,0.00310,0.01800
S2_R2 H5 NTH2/1,nth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_R2 H5 NTH2/2,nth,19000.00000,32.00000,18000.00000,62000.00000,0.66000,6.10000,310.00000,530.00000,3.70000,48.00000,490.00000,2.70000,0.33000,7.20000,25.00000,9.40000,550.00000,0.06500,1.70000,0.21000,7.20000,120.00000,0.14000,0.14000,0.01900,0.09400,0.03000,0.01500,0.04600,0.00940,0.03700,0.00740,0.02700,0.00630,0.03200,0.00510,0.00860,0.01100
S2_R2 H5 NTH2/3,nth,19000.00000,29.00000,18000.00000,58000.00000,0.83000,7.00000,230.00000,510.00000,3.00000,37.00000,450.00000,3.00000,0.55000,3.90000,21.00000,9.30000,540.00000,0.07000,1.40000,0.10000,6.70000,110.00000,0.12000,0.15000,0.02300,0.06900,0.04200,0.02300,0.03300,0.00680,0.04000,0.00650,0.02800,0.01100,0.05900,0.00780,0.00310,0.03700
S2_R2 H5 NTH3/1,nth,20000.00000,23.00000,17000.00000,47000.00000,0.80000,6.70000,340.00000,560.00000,2.90000,40.00000,490.00000,2.20000,0.79000,6.10000,23.00000,13.00000,420.00000,0.06500,2.50000,0.08300,6.00000,100.00000,0.07500,0.10000,0.01500,0.08600,0.05700,0.02200,0.05400,0.00990,0.02800,0.00700,0.02200,0.00640,0.04300,0.00750,0.00000,0.03000
S2_R2 H5 NTH3/2,nth,21000.00000,26.00000,17000.00000,44000.00000,0.70000,7.70000,360.00000,610.00000,3.40000,160.00000,500.00000,2.30000,0.43000,4.70000,44.00000,14.00000,430.00000,0.08900,1.80000,0.11000,8.60000,98.00000,0.08800,0.08700,0.02000,0.06600,0.05900,0.02600,0.02700,0.00690,0.02400,0.00630,0.02600,0.00960,0.03100,0.00810,0.05400,0.03000
S2_R2 H5 NTH3/3,nth,21000.00000,33.00000,18000.00000,38000.00000,0.77000,10.00000,470.00000,620.00000,3.60000,58.00000,550.00000,2.10000,0.49000,8.40000,23.00000,17.00000,380.00000,0.06400,2.30000,0.11000,6.60000,94.00000,0.05700,0.10000,0.02100,0.05700,0.03500,0.02100,0.05000,0.00350,0.04200,0.00900,0.01500,0.00860,0.02100,0.00770,0.00000,0.03200
